year,global_temp,local_temp
1750,8.72,14.62
1751,7.98,15.36
1752,5.78,8.3
1753,8.39,14
1754,8.47,14.11
1755,8.36,11.66
1756,8.85,14.24
1757,9.02,13.62
1758,6.74,12.55
1759,7.99,13.55
1760,7.19,12.1
1761,8.77,14.52
1762,8.61,14
1763,7.5,11.94
1764,8.4,13.96
1765,8.25,13.58
1766,8.41,14.45
1767,8.22,13.22
1768,6.78,12.86
1769,7.69,13.73
1770,7.69,13.59
1771,7.85,14.48
1772,8.19,14.23
1773,8.22,14.37
1774,8.77,13.93
1775,9.18,14.86
1776,8.3,13.64
1777,8.26,13.56
1778,8.54,11.19
1779,8.98,6.06
1780,9.43,
1781,8.1,14.13
1782,7.9,13.65
1783,7.68,13.4
1784,7.86,13.35
1785,7.36,13.16
1786,8.26,13.7
1787,8.03,13.73
1788,8.45,14.24
1789,8.33,13.98
1790,7.98,13.89
1791,8.23,14.08
1792,8.09,13.57
1793,8.23,14.15
1794,8.53,14.25
1795,8.35,13.97
1796,8.27,13.78
1797,8.51,13.7
1798,8.67,14.45
1799,8.51,14.12
1800,8.48,14.02
1801,8.59,14.38
1802,8.58,14.59
1803,8.5,14.45
1804,8.84,14.39
1805,8.56,14.59
1806,8.43,14.06
1807,8.28,13.84
1808,7.63,13.81
1809,7.08,13.01
1810,6.92,13.18
1811,6.86,13.33
1812,7.05,12.44
1813,7.74,13.52
1814,7.59,13.31
1815,7.24,12.88
1816,6.94,12.43
1817,6.98,12.53
1818,7.83,13.19
1819,7.37,13.24
1820,7.62,13.25
1821,8.09,13.08
1822,8.19,14.14
1823,7.72,13.5
1824,8.55,14.03
1825,8.39,14.66
1826,8.36,14.35
1827,8.81,14.74
1828,8.17,15.57
1829,7.94,13.97
1830,8.52,15.23
1831,7.64,13.27
1832,7.45,14.28
1833,8.01,14.39
1834,8.15,14.88
1835,7.39,13.81
1836,7.7,13.2
1837,7.38,13.97
1838,7.51,13.36
1839,7.63,14.24
1840,7.8,14.43
1841,7.69,14
1842,8.02,14.41
1843,8.17,13.33
1844,7.65,14.48
1845,7.85,14.29
1846,8.55,14.72
1847,8.09,13.7
1848,7.98,14.15
1849,7.98,14.02
1850,7.9,14.21
1851,8.18,14.14
1852,8.1,14.19
1853,8.04,14.28
1854,8.21,14.96
1855,8.11,14.1
1856,8,12.84
1857,7.76,12.88
1858,8.1,14.22
1859,8.25,13.93
1860,7.96,14.11
1861,7.85,13.93
1862,7.56,14.06
1863,8.11,13.57
1864,7.98,13.24
1865,8.18,14.04
1866,8.29,13.37
1867,8.44,13.68
1868,8.25,13.07
1869,8.43,13.2
1870,8.2,13.91
1871,8.12,14.34
1872,8.19,12.89
1873,8.35,13.26
1874,8.43,14.45
1875,7.86,13.05
1876,8.08,13.56
1877,8.54,14.1
1878,8.83,14.37
1879,8.17,14.22
1880,8.12,14.4
1881,8.27,14.54
1882,8.13,14.23
1883,7.98,13.9
1884,7.77,13.68
1885,7.92,12.43
1886,7.95,12.91
1887,7.91,13.88
1888,8.09,13.46
1889,8.32,13.71
1890,7.97,14.58
1891,8.02,13.73
1892,8.07,13.22
1893,8.06,13.5
1894,8.16,14.25
1895,8.15,13.14
1896,8.21,14.36
1897,8.29,14.25
1898,8.18,14.09
1899,8.4,13.96
1900,8.5,14.27
1901,8.54,13.02
1902,8.3,13.86
1903,8.22,13.41
1904,8.09,13.17
1905,8.23,13.45
1906,8.38,14
1907,7.95,13.75
1908,8.19,14.48
1909,8.18,14.04
1910,8.22,13.54
1911,8.18,14.97
1912,8.17,13.3
1913,8.3,14.41
1914,8.59,13.79
1915,8.59,13.92
1916,8.23,14.06
1917,8.02,12.72
1918,8.13,14.1
1919,8.38,14.57
1920,8.36,13.5
1921,8.57,15.52
1922,8.41,14.93
1923,8.42,14.14
1924,8.51,13.08
1925,8.53,14.53
1926,8.73,13.54
1927,8.52,14.86
1928,8.63,13.66
1929,8.24,13.83
1930,8.63,14.35
1931,8.72,15.1
1932,8.71,14.68
1933,8.34,15.12
1934,8.63,14.36
1935,8.52,14.23
1936,8.55,14.38
1937,8.7,14.06
1938,8.86,15.05
1939,8.76,14.82
1940,8.76,13.22
1941,8.77,14.6
1942,8.73,14.06
1943,8.76,14.08
1944,8.85,14.46
1945,8.58,14.32
1946,8.68,14.97
1947,8.8,13.94
1948,8.75,14.47
1949,8.59,15.12
1950,8.37,14.09
1951,8.63,14.41
1952,8.64,14.74
1953,8.87,14.98
1954,8.56,14.96
1955,8.63,14.63
1956,8.28,14.63
1957,8.73,14.82
1958,8.77,13.34
1959,8.73,14.71
1960,8.58,13.63
1961,8.8,13.92
1962,8.75,14.11
1963,8.86,13.44
1964,8.41,14.28
1965,8.53,14.4
1966,8.6,13.64
1967,8.7,13.82
1968,8.52,13.61
1969,8.6,13.59
1970,8.7,14.29
1971,8.6,14.38
1972,8.5,14.17
1973,8.95,14.84
1974,8.47,14.53
1975,8.74,14.62
1976,8.35,13.37
1977,8.85,14.19
1978,8.69,13.59
1979,8.73,13.64
1980,8.98,14.05
1981,9.17,13.8
1982,8.64,14.5
1983,9.03,14.04
1984,8.69,14.31
1985,8.66,14.39
1986,8.83,15.13
1987,8.99,14.85
1988,9.2,13.99
1989,8.92,13.89
1990,9.23,15.54
1991,9.18,15.31
1992,8.84,14.02
1993,8.87,14.21
1994,9.04,14.39
1995,9.35,14.39
1996,9.04,13.92
1997,9.2,14.15
1998,9.52,15.92
1999,9.29,15.28
2000,9.2,14.61
2001,9.41,14.98
2002,9.57,15.2
2003,9.53,14.4
2004,9.32,14.88
2005,9.7,14.87
2006,9.53,15.31
2007,9.73,15.35
2008,9.43,14.46
2009,9.51,14.46
2010,9.7,14.64
2011,9.52,15.24
2012,9.51,15.91
2013,9.61,16.05
